ID,smiles,clogp,tpsa,mw,scaffold_clogp,scaffold_tpsa,scaffold_mw
STOCK1S-00187,C=CCN1C(=O)C(=O)c2cc(C)ccc21,-0.8938370981310012,-1.5695205613532914,-2.342037183020945,-1.4117299300599468,-1.2218314704350082,-3.0121314558828036
STOCK1S-00189,CCCCn1c(=O)c(-[n+]2ccccc2)c([O-])c2ccccc21,-4.047802404827071,-1.1122639184618976,-1.18827121494464,-0.9102570953623048,-1.5948358080185592,-2.069178605356077
STOCK1S-00190,c1cc2c3c(cccc3c1)/C(=N\OCC1CO1)C2,-0.7168886807626039,-1.698470099054498,-1.8707049561975784,-0.5478952931087513,-1.698470099054498,-1.8707049561975784
STOCK1S-00191,CCOc1ccc(C2CNC(=O)C2)cc1,-1.3038270911113796,-1.5319432420845351,-2.2920556185041017,-1.1727220821620572,-1.89703656508519,-2.8379090709860133
STOCK1S-00195,CCC(NC(=O)/C(=C\c1cccc([N+](=O)[O-])c1)NC(=O)c1ccccc1)C(=O)O,-0.3624819082235956,2.4358261219670028,0.08864417995689093,-0.256261864022335,-1.89703656508519,-2.0690158811193498
STOCK1S-00197,CCCCc1nc2ccccc2c(=O)n1NC(=O)c1c(O)c2ccccc2n(CC)c1=O,-0.5180129378989877,1.1534506580795454,0.5232365528879365,-1.0035247193873191,0.7828196248708631,-0.717701954714255
STOCK1S-00201,O=C1CC(c2ccc(OCCCCCCOc3ccc(C4CC(=O)NC4=O)cc3)cc2)C(=O)N1,-0.7943992266991929,1.334612892027866,0.9201702482077392,-0.3186272572331565,1.334612892027866,0.9201702482077392
STOCK1S-00202,O=C(CC(=O)Nc1ccccc1C(=O)O)NNC(=O)Cc1ccccc1,-0.6944514174651703,1.8804728982476968,-0.4322184902665973,-1.1139772473469582,0.40506867853757617,-0.9776208216317884
STOCK1S-00203,CCCN1CC=C2C(C#N)=C(N)C(C#N)(C#N)C3(C(=O)Nc4ccccc43)C2C1,-1.7887779410172748,2.0833904222989816,-0.0720080673536374,-0.8197941292494701,-1.4211890379239895,-1.7091338851681288
STOCK1S-00204,CCCCCCCCCCC(=O)NNC(=O)c1c(O)c2ccccc2[nH]c1=O,0.7705998882968037,1.3539948777559618,-0.03424327707289336,-1.0513568852350297,-1.7483094909267434,-3.0366711170245044
